,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
1,V Kohli,160.0,220.0,159.0,12.0,2.0,100.62,1.0,South Africa,Cape Town,2018,away
4,V Kohli,136.0,157.0,122.0,16.0,2.0,111.47,2.0,Bangladesh,Fatullah,2014,away
7,V Kohli,131.0,0.0,96.0,17.0,2.0,136.45,1.0,Sri Lanka,Colombo (RPS),2017,away
8,V Kohli,129.0,123.0,96.0,19.0,2.0,134.37,2.0,South Africa,Centurion,2018,away
9,V Kohli,128.0,187.0,119.0,12.0,1.0,107.56,2.0,Sri Lanka,Colombo (RPS),2012,away
14,V Kohli,123.0,179.0,111.0,11.0,2.0,110.81,2.0,New Zealand,Napier,2014,away
15,V Kohli,120.0,179.0,125.0,14.0,1.0,96.0,1.0,West Indies,Port of Spain,2019,away
16,V Kohli,117.0,174.0,117.0,7.0,2.0,100.0,1.0,Australia,Melbourne,2016,away
18,V Kohli,115.0,133.0,108.0,13.0,1.0,106.48,2.0,Zimbabwe,Harare,2013,away
20,V Kohli,114.0,127.0,99.0,14.0,0.0,115.15,2.0,West Indies,Port of Spain,2019,away
22,V Kohli,112.0,164.0,119.0,10.0,0.0,94.11,2.0,South Africa,Durban,2018,away
24,V Kohli,111.0,0.0,115.0,12.0,2.0,96.52,2.0,West Indies,Kingston,2017,away
25,V Kohli,110.0,0.0,116.0,9.0,0.0,94.82,2.0,Sri Lanka,Colombo (RPS),2017,away
27,V Kohli,107.0,102.0,93.0,9.0,1.0,115.05,1.0,England,Cardiff,2011,away
28,V Kohli,106.0,158.0,113.0,9.0,0.0,93.8,1.0,Sri Lanka,Hambantota,2012,away
30,V Kohli,106.0,131.0,92.0,11.0,1.0,115.21,2.0,Australia,Canberra,2016,away
34,V Kohli,104.0,150.0,112.0,5.0,2.0,92.85,2.0,Australia,Adelaide,2019,away
38,V Kohli,102.0,120.0,83.0,13.0,2.0,122.89,1.0,West Indies,Port of Spain,2013,away
46,V Kohli,94.0,135.0,104.0,10.0,0.0,90.38,1.0,West Indies,Kingston,2011,away
49,V Kohli,91.0,148.0,97.0,9.0,1.0,93.81,1.0,Australia,Perth,2016,away
53,V Kohli,89.0,0.0,87.0,7.0,2.0,102.29,2.0,Australia,Sydney,2020,away
59,V Kohli,87.0,0.0,66.0,4.0,4.0,131.81,1.0,West Indies,Port of Spain,2017,away
63,V Kohli,82.0,0.0,70.0,10.0,1.0,117.14,2.0,Sri Lanka,Dambulla,2017,away
64,V Kohli,82.0,129.0,78.0,7.0,3.0,105.12,2.0,New Zealand,Wellington,2014,away
65,V Kohli,81.0,118.0,103.0,6.0,1.0,78.64,2.0,West Indies,Port of Spain,2011,away
72,V Kohli,78.0,88.0,65.0,7.0,2.0,120.0,2.0,New Zealand,Hamilton,2014,away
79,V Kohli,75.0,119.0,83.0,7.0,1.0,90.36,1.0,South Africa,Johannesburg,2018,away
80,V Kohli,75.0,0.0,82.0,7.0,0.0,91.46,2.0,England,Nottingham,2018,away
86,V Kohli,71.0,98.0,72.0,8.0,0.0,98.61,1.0,England,Leeds,2018,away
94,V Kohli,68.0,128.0,88.0,5.0,1.0,77.27,2.0,Zimbabwe,Harare,2013,away
99,V Kohli,66.0,126.0,82.0,5.0,0.0,80.48,1.0,Bangladesh,Dhaka,2012,away
101,V Kohli,66.0,103.0,76.0,7.0,0.0,86.84,2.0,England,Birmingham,2019,away
119,V Kohli,63.0,0.0,78.0,5.0,0.0,80.76,1.0,Australia,Canberra,2020,away
128,V Kohli,60.0,94.0,74.0,6.0,1.0,81.08,2.0,New Zealand,Mount Maunganui,2019,away
129,V Kohli,59.0,84.0,67.0,4.0,0.0,88.05,1.0,Australia,Brisbane,2016,away
138,V Kohli,55.0,92.0,73.0,4.0,0.0,75.34,1.0,England,Chester-le-Street,2011,away
154,V Kohli,51.0,88.0,63.0,6.0,0.0,80.95,1.0,New Zealand,Hamilton,2020,away
170,V Kohli,46.0,64.0,50.0,4.0,1.0,92.0,2.0,South Africa,Centurion,2018,away
174,V Kohli,46.0,0.0,62.0,3.0,0.0,74.19,2.0,Australia,Melbourne,2019,away
178,V Kohli,45.0,0.0,56.0,2.0,0.0,80.35,2.0,England,Lord's,2018,away
179,V Kohli,45.0,59.0,59.0,3.0,0.0,76.27,2.0,New Zealand,Napier,2019,away
190,V Kohli,43.0,66.0,34.0,4.0,1.0,126.47,1.0,England,Birmingham,2013,away
192,V Kohli,43.0,59.0,45.0,5.0,0.0,95.55,1.0,New Zealand,Mount Maunganui,2019,away
9,V Kohli,40.0,67.0,50.0,2.0,1.0,80.0,2.0,England,Nottingham,2014,away
22,V Kohli,38.0,80.0,65.0,2.0,0.0,58.46,2.0,Sri Lanka,Colombo (RPS),2012,away
31,V Kohli,36.0,76.0,54.0,2.0,0.0,66.66,1.0,South Africa,Port Elizabeth,2018,away
53,V Kohli,32.0,0.0,47.0,1.0,0.0,68.08,1.0,West Indies,Port of Spain,2017,away
60,V Kohli,31.0,30.0,34.0,3.0,0.0,91.17,2.0,Australia,Melbourne,2012,away
63,V Kohli,31.0,41.0,35.0,5.0,0.0,88.57,2.0,South Africa,Johannesburg,2013,away
105,V Kohli,25.0,55.0,35.0,1.0,0.0,71.42,1.0,Bangladesh,Dhaka,2015,away
113,V Kohli,23.0,42.0,35.0,2.0,0.0,65.71,1.0,Sri Lanka,Pallekele,2012,away
116,V Kohli,23.0,57.0,27.0,3.0,1.0,85.18,1.0,Bangladesh,Dhaka,2015,away
121,V Kohli,22.0,68.0,33.0,1.0,0.0,66.66,2.0,West Indies,North Sound,2011,away
129,V Kohli,21.0,36.0,27.0,2.0,0.0,77.77,2.0,Australia,Sydney,2012,away
137,V Kohli,21.0,0.0,21.0,2.0,1.0,100.0,2.0,Australia,Sydney,2020,away
162,V Kohli,18.0,41.0,28.0,1.0,0.0,64.28,2.0,Australia,Adelaide,2012,away
180,V Kohli,16.0,40.0,36.0,1.0,0.0,44.44,1.0,England,Lord's,2011,away
3,V Kohli,15.0,31.0,25.0,1.0,0.0,60.0,2.0,New Zealand,Auckland,2020,away
8,V Kohli,14.0,35.0,18.0,2.0,0.0,77.77,1.0,Zimbabwe,Harare,2013,away
19,V Kohli,13.0,25.0,21.0,2.0,0.0,61.9,2.0,England,Leeds,2014,away
30,V Kohli,12.0,44.0,25.0,0.0,0.0,48.0,2.0,Australia,Brisbane,2012,away
46,V Kohli,11.0,19.0,21.0,0.0,1.0,52.38,1.0,West Indies,Kingston,2013,away
52,V Kohli,11.0,0.0,22.0,2.0,0.0,50.0,1.0,West Indies,North Sound,2017,away
73,V Kohli,9.0,9.0,9.0,0.0,0.0,100.0,1.0,England,Southampton,2011,away
79,V Kohli,9.0,24.0,16.0,0.0,0.0,56.25,1.0,Australia,Melbourne,2015,away
87,V Kohli,9.0,20.0,12.0,0.0,1.0,75.0,1.0,New Zealand,Mount Maunganui,2020,away
100,V Kohli,8.0,11.0,11.0,1.0,0.0,72.72,2.0,Australia,Sydney,2016,away
107,V Kohli,7.0,18.0,18.0,0.0,0.0,38.88,1.0,England,The Oval,2011,away
128,V Kohli,6.0,27.0,20.0,1.0,0.0,30.0,2.0,New Zealand,Auckland,2014,away
183,V Kohli,4.0,0.0,2.0,1.0,0.0,200.0,2.0,Sri Lanka,Pallekele,2017,away
186,V Kohli,3.0,8.0,9.0,0.0,0.0,33.33,1.0,Australia,Sydney,2015,away
2,V Kohli,3.0,0.0,12.0,0.0,0.0,25.0,2.0,West Indies,North Sound,2017,away
3,V Kohli,3.0,0.0,11.0,0.0,0.0,27.27,2.0,Sri Lanka,Pallekele,2017,away
4,V Kohli,3.0,10.0,8.0,0.0,0.0,37.5,2.0,Australia,Sydney,2019,away
16,V Kohli,2.0,5.0,8.0,0.0,0.0,25.0,2.0,West Indies,Port of Spain,2011,away
