,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
6,V Kohli,157.0,217.0,129.0,13.0,4.0,121.7,1.0,West Indies,Visakhapatnam,2018,home
7,V Kohli,154.0,202.0,134.0,16.0,1.0,114.92,2.0,New Zealand,Mohali,2016,home
14,V Kohli,140.0,0.0,107.0,21.0,2.0,130.84,2.0,West Indies,Guwahati,2018,home
16,V Kohli,139.0,192.0,126.0,12.0,3.0,110.31,2.0,Sri Lanka,Ranchi,2014,home
17,V Kohli,138.0,202.0,140.0,6.0,5.0,98.57,1.0,South Africa,Chennai,2015,home
19,V Kohli,127.0,164.0,114.0,13.0,3.0,111.4,1.0,West Indies,Dharamsala,2014,home
21,V Kohli,123.0,0.0,95.0,16.0,1.0,129.47,2.0,Australia,Ranchi,2019,home
22,V Kohli,122.0,147.0,105.0,8.0,5.0,116.19,2.0,England,Pune,2017,home
24,V Kohli,121.0,203.0,125.0,9.0,2.0,96.8,1.0,New Zealand,Mumbai,2017,home
28,V Kohli,117.0,154.0,123.0,14.0,0.0,95.12,2.0,West Indies,Visakhapatnam,2011,home
29,V Kohli,116.0,0.0,120.0,10.0,0.0,96.66,1.0,Australia,Nagpur,2019,home
30,V Kohli,115.0,104.0,66.0,18.0,1.0,174.24,2.0,Australia,Nagpur,2013,home
33,V Kohli,113.0,166.0,106.0,9.0,1.0,106.6,1.0,New Zealand,Kanpur,2017,home
34,V Kohli,112.0,134.0,98.0,16.0,0.0,114.28,2.0,England,Delhi,2011,home
37,V Kohli,107.0,0.0,119.0,10.0,1.0,89.91,2.0,West Indies,Pune,2018,home
40,V Kohli,100.0,82.0,52.0,8.0,7.0,192.3,2.0,Australia,Jaipur,2013,home
44,V Kohli,99.0,159.0,100.0,9.0,0.0,99.0,1.0,West Indies,Visakhapatnam,2013,home
51,V Kohli,92.0,148.0,107.0,8.0,0.0,85.98,1.0,Australia,Kolkata,2017,home
57,V Kohli,89.0,0.0,91.0,8.0,0.0,97.8,2.0,Australia,Bengaluru,2020,home
61,V Kohli,86.0,0.0,99.0,11.0,0.0,86.86,2.0,England,Mumbai,2011,home
62,V Kohli,86.0,120.0,84.0,9.0,2.0,102.38,2.0,West Indies,Kochi,2013,home
63,V Kohli,85.0,109.0,81.0,9.0,1.0,104.93,2.0,New Zealand,Dharamsala,2016,home
64,V Kohli,85.0,0.0,81.0,9.0,0.0,104.93,2.0,West Indies,Cuttack,2019,home
71,V Kohli,80.0,99.0,85.0,5.0,0.0,94.11,1.0,West Indies,Chennai,2011,home
78,V Kohli,78.0,0.0,76.0,6.0,0.0,102.63,1.0,Australia,Rajkot,2020,home
80,V Kohli,77.0,110.0,79.0,9.0,2.0,97.46,2.0,England,Ranchi,2013,home
81,V Kohli,77.0,155.0,99.0,5.0,0.0,77.77,2.0,South Africa,Rajkot,2015,home
96,V Kohli,68.0,121.0,73.0,9.0,0.0,93.15,1.0,Australia,Mohali,2013,home
104,V Kohli,66.0,109.0,64.0,6.0,0.0,103.12,1.0,Sri Lanka,Kolkata,2014,home
105,V Kohli,66.0,110.0,79.0,3.0,1.0,83.54,1.0,England,Pune,2021,home
107,V Kohli,65.0,152.0,76.0,2.0,1.0,85.52,1.0,New Zealand,Visakhapatnam,2016,home
117,V Kohli,62.0,124.0,78.0,5.0,0.0,79.48,1.0,West Indies,Delhi,2014,home
122,V Kohli,61.0,121.0,85.0,6.0,0.0,71.76,2.0,Australia,Pune,2013,home
134,V Kohli,56.0,65.0,60.0,6.0,0.0,93.33,1.0,England,Pune,2021,home
138,V Kohli,55.0,81.0,63.0,8.0,0.0,87.3,2.0,England,Kolkata,2017,home
141,V Kohli,53.0,0.0,61.0,4.0,1.0,86.88,2.0,Sri Lanka,Hyderabad (Deccan),2014,home
151,V Kohli,49.0,0.0,44.0,2.0,2.0,111.36,2.0,Sri Lanka,Ahmedabad,2014,home
158,V Kohli,45.0,64.0,51.0,2.0,1.0,88.23,2.0,New Zealand,Ranchi,2016,home
161,V Kohli,44.0,0.0,45.0,6.0,1.0,97.77,2.0,Australia,Hyderabad (Deccan),2019,home
179,V Kohli,39.0,73.0,55.0,2.0,0.0,70.9,2.0,Australia,Nagpur,2017,home
187,V Kohli,37.0,70.0,63.0,0.0,0.0,58.73,1.0,England,Hyderabad (Deccan),2011,home
188,V Kohli,37.0,86.0,54.0,1.0,1.0,68.51,1.0,England,Kochi,2013,home
198,V Kohli,35.0,42.0,30.0,5.0,0.0,116.66,2.0,England,Mohali,2011,home
6,V Kohli,33.0,57.0,29.0,6.0,0.0,113.79,2.0,West Indies,Thiruvananthapuram,2018,home
27,V Kohli,29.0,40.0,29.0,3.0,1.0,100.0,2.0,New Zealand,Pune,2017,home
36,V Kohli,28.0,58.0,35.0,2.0,0.0,80.0,2.0,Australia,Indore,2017,home
47,V Kohli,26.0,44.0,33.0,3.0,0.0,78.78,2.0,England,Mohali,2013,home
68,V Kohli,23.0,15.0,11.0,3.0,0.0,209.09,1.0,West Indies,Indore,2011,home
77,V Kohli,22.0,34.0,21.0,2.0,0.0,104.76,1.0,Sri Lanka,Cuttack,2014,home
86,V Kohli,21.0,23.0,21.0,3.0,0.0,100.0,2.0,Australia,Bengaluru,2017,home
95,V Kohli,20.0,21.0,30.0,3.0,0.0,66.66,2.0,West Indies,Ahmedabad,2011,home
102,V Kohli,20.0,0.0,22.0,2.0,0.0,90.9,2.0,Australia,Delhi,2019,home
108,V Kohli,19.0,19.0,18.0,3.0,0.0,105.55,2.0,West Indies,Kanpur,2013,home
140,V Kohli,16.0,0.0,17.0,2.0,0.0,94.11,1.0,West Indies,Mumbai (BS),2018,home
143,V Kohli,16.0,0.0,14.0,0.0,1.0,114.28,1.0,Australia,Mumbai,2020,home
150,V Kohli,15.0,45.0,22.0,1.0,0.0,68.18,2.0,England,Rajkot,2013,home
185,V Kohli,12.0,24.0,18.0,0.0,0.0,66.66,1.0,South Africa,Indore,2015,home
198,V Kohli,11.0,29.0,18.0,0.0,0.0,61.11,2.0,South Africa,Kanpur,2015,home
24,V Kohli,9.0,18.0,13.0,1.0,0.0,69.23,2.0,New Zealand,Delhi,2016,home
41,V Kohli,8.0,6.0,5.0,2.0,0.0,160.0,1.0,England,Cuttack,2017,home
50,V Kohli,7.0,25.0,17.0,1.0,0.0,41.17,1.0,Pakistan,Delhi,2013,home
55,V Kohli,7.0,11.0,6.0,0.0,1.0,116.66,2.0,South Africa,Mumbai,2015,home
62,V Kohli,7.0,0.0,6.0,1.0,0.0,116.66,1.0,Australia,Mohali,2019,home
66,V Kohli,7.0,14.0,10.0,1.0,0.0,70.0,1.0,England,Pune,2021,home
75,V Kohli,6.0,12.0,9.0,1.0,0.0,66.66,2.0,Pakistan,Kolkata,2013,home
109,V Kohli,4.0,0.0,4.0,1.0,0.0,100.0,1.0,West Indies,Chennai,2019,home
114,V Kohli,3.0,13.0,6.0,0.0,0.0,50.0,2.0,West Indies,Cuttack,2011,home
136,V Kohli,2.0,7.0,5.0,0.0,0.0,40.0,2.0,West Indies,Kochi,2014,home
190,V Kohli,0.0,5.0,5.0,0.0,0.0,0.0,1.0,England,Kolkata,2011,home
196,V Kohli,0.0,9.0,5.0,0.0,0.0,0.0,1.0,Pakistan,Chennai,2012,home
1,V Kohli,0.0,1.0,1.0,0.0,0.0,0.0,1.0,England,Dharamsala,2013,home
6,V Kohli,0.0,4.0,3.0,0.0,0.0,0.0,1.0,Australia,Bengaluru,2013,home
18,V Kohli,0.0,7.0,4.0,0.0,0.0,0.0,1.0,Australia,Chennai,2017,home
32,V Kohli,0.0,0.0,1.0,0.0,0.0,0.0,1.0,West Indies,Visakhapatnam,2019,home
