,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
4,JE Root,125.0,165.0,113.0,10.0,5.0,110.61,1.0,South Africa,Centurion,2016,away
13,JE Root,109.0,0.0,124.0,10.0,1.0,87.9,1.0,South Africa,Johannesburg,2016,away
14,JE Root,107.0,163.0,122.0,7.0,0.0,87.7,1.0,West Indies,North Sound,2014,away
20,JE Root,104.0,159.0,117.0,7.0,1.0,88.88,2.0,Sri Lanka,Pallekele,2014,away
24,JE Root,102.0,155.0,101.0,6.0,2.0,100.99,1.0,New Zealand,Dunedin,2018,away
25,JE Root,102.0,167.0,97.0,9.0,0.0,105.15,2.0,West Indies,Bridgetown,2019,away
28,JE Root,101.0,0.0,108.0,10.0,0.0,93.51,1.0,West Indies,Bridgetown,2017,away
38,JE Root,91.0,186.0,110.0,5.0,0.0,82.72,2.0,Australia,Melbourne,2018,away
39,JE Root,90.0,195.0,127.0,3.0,0.0,70.86,2.0,West Indies,North Sound,2017,away
45,JE Root,80.0,142.0,99.0,5.0,0.0,80.8,2.0,Sri Lanka,Colombo (RPS),2014,away
46,JE Root,79.0,71.0,56.0,7.0,2.0,141.07,2.0,New Zealand,Napier,2013,away
51,JE Root,78.0,141.0,95.0,4.0,1.0,82.1,1.0,India,Pune,2017,away
58,JE Root,71.0,124.0,75.0,5.0,1.0,94.66,1.0,New Zealand,Hamilton,2018,away
59,JE Root,71.0,116.0,83.0,6.0,0.0,85.54,1.0,Sri Lanka,Dambulla,2018,away
64,JE Root,69.0,101.0,70.0,6.0,0.0,98.57,1.0,Australia,Hobart,2015,away
85,JE Root,62.0,0.0,68.0,2.0,0.0,91.17,1.0,Australia,Perth,2018,away
96,JE Root,57.0,61.0,45.0,8.0,1.0,126.66,1.0,India,Mohali,2013,away
102,JE Root,56.0,92.0,64.0,4.0,0.0,87.5,1.0,New Zealand,Hamilton,2013,away
107,JE Root,55.0,114.0,86.0,3.0,1.0,63.95,2.0,Australia,Adelaide,2014,away
109,JE Root,55.0,114.0,76.0,4.0,0.0,72.36,2.0,Sri Lanka,Pallekele,2014,away
114,JE Root,54.0,65.0,55.0,8.0,0.0,98.18,2.0,India,Cuttack,2017,away
117,JE Root,52.0,97.0,58.0,4.0,1.0,89.65,1.0,South Africa,Bloemfontein,2016,away
129,JE Root,49.0,88.0,52.0,3.0,0.0,94.23,2.0,South Africa,Johannesburg,2020,away
130,JE Root,48.0,90.0,48.0,2.0,2.0,100.0,2.0,Sri Lanka,Hambantota,2014,away
137,JE Root,46.0,0.0,58.0,1.0,0.0,79.31,2.0,Australia,Brisbane,2018,away
141,JE Root,46.0,123.0,70.0,3.0,0.0,65.71,1.0,New Zealand,Wellington,2015,away
157,JE Root,42.0,71.0,57.0,1.0,0.0,73.68,1.0,Sri Lanka,Colombo (RPS),2014,away
172,JE Root,39.0,92.0,57.0,4.0,0.0,68.42,1.0,India,Ranchi,2013,away
182,JE Root,38.0,93.0,64.0,2.0,0.0,59.37,2.0,South Africa,Port Elizabeth,2016,away
183,JE Root,37.0,86.0,48.0,2.0,0.0,77.08,2.0,West Indies,North Sound,2014,away
190,JE Root,36.0,78.0,50.0,3.0,0.0,72.0,2.0,India,Kochi,2013,away
191,JE Root,36.0,77.0,49.0,1.0,1.0,73.46,1.0,Sri Lanka,Colombo (RPS),2014,away
