,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
8,JE Root,133.0,202.0,129.0,11.0,1.0,103.1,2.0,Bangladesh,The Oval,2017,home
17,JE Root,113.0,0.0,116.0,8.0,1.0,97.41,1.0,India,Lord's,2018,home
18,JE Root,113.0,133.0,108.0,10.0,3.0,104.62,1.0,India,Leeds,2014,home
28,JE Root,107.0,168.0,104.0,10.0,1.0,102.88,2.0,Pakistan,Nottingham,2019,home
29,JE Root,106.0,139.0,97.0,13.0,0.0,109.27,2.0,New Zealand,Nottingham,2015,home
32,JE Root,104.0,108.0,78.0,13.0,2.0,133.33,1.0,New Zealand,Birmingham,2015,home
40,JE Root,100.0,155.0,120.0,10.0,0.0,83.33,2.0,India,Leeds,2018,home
41,JE Root,100.0,164.0,94.0,11.0,0.0,106.38,2.0,West Indies,Southampton,2019,home
48,JE Root,93.0,149.0,106.0,6.0,0.0,87.73,1.0,Sri Lanka,Cardiff,2016,home
55,JE Root,89.0,201.0,108.0,5.0,0.0,82.4,2.0,Pakistan,Lord's,2016,home
61,JE Root,88.0,155.0,82.0,5.0,1.0,107.31,1.0,Afghanistan,Manchester,2019,home
66,JE Root,85.0,146.0,86.0,8.0,0.0,98.83,1.0,Pakistan,Nottingham,2016,home
69,JE Root,84.0,120.0,79.0,7.0,2.0,106.32,1.0,West Indies,Bristol,2017,home
71,JE Root,84.0,112.0,73.0,9.0,0.0,115.06,1.0,Pakistan,Leeds,2019,home
93,JE Root,73.0,106.0,73.0,8.0,0.0,100.0,1.0,Ireland,Lord's,2017,home
107,JE Root,68.0,74.0,55.0,5.0,0.0,123.63,1.0,Sri Lanka,The Oval,2013,home
118,JE Root,65.0,83.0,54.0,9.0,0.0,120.37,2.0,Sri Lanka,The Oval,2016,home
123,JE Root,64.0,122.0,65.0,4.0,2.0,98.46,1.0,New Zealand,Cardiff,2017,home
132,JE Root,61.0,101.0,72.0,6.0,0.0,84.72,2.0,Pakistan,Southampton,2016,home
144,JE Root,57.0,126.0,89.0,3.0,0.0,64.04,2.0,Sri Lanka,Leeds,2019,home
154,JE Root,54.0,90.0,63.0,6.0,0.0,85.71,1.0,New Zealand,Southampton,2015,home
155,JE Root,54.0,77.0,53.0,4.0,0.0,101.88,2.0,West Indies,Manchester,2017,home
170,JE Root,51.0,83.0,59.0,5.0,0.0,86.44,1.0,South Africa,The Oval,2019,home
176,JE Root,50.0,111.0,71.0,4.0,0.0,70.42,2.0,Australia,The Oval,2018,home
179,JE Root,49.0,78.0,52.0,7.0,0.0,94.23,2.0,Ireland,Bristol,2017,home
180,JE Root,49.0,67.0,46.0,8.0,0.0,106.52,2.0,Australia,Birmingham,2019,home
187,JE Root,48.0,90.0,71.0,7.0,0.0,67.6,2.0,South Africa,The Oval,2013,home
192,JE Root,46.0,0.0,44.0,2.0,1.0,104.54,2.0,West Indies,Southampton,2017,home
197,JE Root,46.0,82.0,56.0,2.0,0.0,82.14,1.0,Pakistan,Cardiff,2017,home
3,JE Root,45.0,55.0,41.0,2.0,1.0,109.75,1.0,Sri Lanka,The Oval,2014,home
7,JE Root,44.0,97.0,81.0,2.0,0.0,54.32,1.0,India,Birmingham,2014,home
9,JE Root,44.0,96.0,54.0,2.0,0.0,81.48,1.0,India,Birmingham,2019,home
15,JE Root,43.0,90.0,68.0,1.0,0.0,63.23,2.0,Sri Lanka,Lord's,2014,home
19,JE Root,43.0,79.0,36.0,4.0,1.0,119.44,2.0,Pakistan,Bristol,2019,home
44,JE Root,40.0,69.0,54.0,3.0,0.0,74.07,1.0,Pakistan,Southampton,2019,home
49,JE Root,39.0,50.0,41.0,6.0,0.0,95.12,1.0,South Africa,Southampton,2017,home
51,JE Root,39.0,88.0,73.0,4.0,1.0,53.42,1.0,Australia,Manchester,2020,home
55,JE Root,38.0,47.0,40.0,2.0,1.0,95.0,1.0,New Zealand,Cardiff,2013,home
66,JE Root,37.0,93.0,51.0,2.0,0.0,72.54,1.0,South Africa,Leeds,2017,home
74,JE Root,36.0,68.0,41.0,3.0,0.0,87.8,2.0,Pakistan,Nottingham,2019,home
96,JE Root,33.0,52.0,50.0,1.0,0.0,66.0,1.0,New Zealand,Nottingham,2013,home
115,JE Root,30.0,58.0,40.0,1.0,0.0,75.0,1.0,New Zealand,Lord's,2013,home
122,JE Root,30.0,45.0,26.0,5.0,1.0,115.38,2.0,Pakistan,Leeds,2016,home
131,JE Root,28.0,45.0,27.0,1.0,0.0,103.7,2.0,New Zealand,Southampton,2013,home
142,JE Root,27.0,0.0,35.0,2.0,1.0,77.14,2.0,Australia,Chester-le-Street,2018,home
169,JE Root,24.0,54.0,25.0,1.0,0.0,96.0,1.0,New Zealand,Chester-le-Street,2019,home
188,JE Root,22.0,40.0,24.0,2.0,0.0,91.66,1.0,Australia,Cardiff,2018,home
197,JE Root,21.0,62.0,36.0,0.0,0.0,58.33,2.0,Australia,Southampton,2013,home
1,JE Root,21.0,54.0,29.0,1.0,0.0,72.41,1.0,Bangladesh,Cardiff,2019,home
63,JE Root,15.0,25.0,14.0,2.0,0.0,107.14,2.0,Australia,Birmingham,2017,home
77,JE Root,14.0,0.0,15.0,2.0,0.0,93.33,2.0,West Indies,The Oval,2017,home
107,JE Root,12.0,23.0,17.0,1.0,0.0,70.58,1.0,Australia,Birmingham,2013,home
108,JE Root,12.0,36.0,24.0,1.0,0.0,50.0,1.0,Australia,Birmingham,2013,home
119,JE Root,11.0,15.0,16.0,1.0,0.0,68.75,2.0,Sri Lanka,Bristol,2016,home
144,JE Root,10.0,16.0,11.0,1.0,0.0,90.9,1.0,Sri Lanka,Birmingham,2014,home
176,JE Root,9.0,21.0,9.0,1.0,0.0,100.0,1.0,Pakistan,Cardiff,2016,home
196,JE Root,8.0,16.0,9.0,2.0,0.0,88.88,2.0,Australia,Lord's,2019,home
4,JE Root,7.0,8.0,9.0,0.0,0.0,77.77,2.0,India,Birmingham,2013,home
19,JE Root,7.0,40.0,30.0,0.0,0.0,23.33,2.0,New Zealand,Lord's,2019,home
33,JE Root,6.0,11.0,10.0,0.0,0.0,60.0,2.0,New Zealand,The Oval,2015,home
62,JE Root,4.0,0.0,6.0,0.0,0.0,66.66,1.0,Australia,Nottingham,2018,home
73,JE Root,4.0,11.0,4.0,1.0,0.0,100.0,2.0,India,Cardiff,2014,home
75,JE Root,4.0,8.0,5.0,1.0,0.0,80.0,2.0,New Zealand,Chester-le-Street,2015,home
95,JE Root,3.0,26.0,15.0,0.0,0.0,20.0,2.0,Australia,Manchester,2013,home
104,JE Root,3.0,0.0,6.0,0.0,0.0,50.0,1.0,India,Nottingham,2018,home
123,JE Root,2.0,7.0,7.0,0.0,0.0,28.57,1.0,India,Nottingham,2014,home
128,JE Root,2.0,19.0,6.0,0.0,0.0,33.33,2.0,Sri Lanka,Nottingham,2016,home
130,JE Root,2.0,6.0,5.0,0.0,0.0,40.0,1.0,South Africa,Lord's,2017,home
172,JE Root,1.0,0.0,3.0,0.0,0.0,33.33,2.0,Australia,Manchester,2018,home
180,JE Root,1.0,15.0,11.0,0.0,0.0,9.09,2.0,Australia,Manchester,2020,home
12,JE Root,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Australia,Cardiff,2013,home
15,JE Root,0.0,2.0,3.0,0.0,0.0,0.0,2.0,Sri Lanka,Chester-le-Street,2014,home
