,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
2,SPD Smith,164.0,206.0,157.0,14.0,4.0,104.45,1.0,New Zealand,Sydney,2016,home
5,SPD Smith,149.0,179.0,135.0,11.0,2.0,110.37,2.0,India,Perth,2016,home
23,SPD Smith,108.0,157.0,104.0,11.0,1.0,103.84,2.0,Pakistan,Perth,2017,home
29,SPD Smith,105.0,121.0,93.0,11.0,2.0,112.9,1.0,India,Sydney,2015,home
30,SPD Smith,105.0,0.0,66.0,11.0,4.0,159.09,1.0,India,Sydney,2020,home
32,SPD Smith,104.0,180.0,112.0,7.0,0.0,92.85,2.0,South Africa,Melbourne,2014,home
33,SPD Smith,104.0,0.0,64.0,14.0,2.0,162.5,1.0,India,Sydney,2020,home
34,SPD Smith,102.0,168.0,95.0,6.0,1.0,107.36,2.0,England,Hobart,2015,home
43,SPD Smith,95.0,173.0,98.0,8.0,1.0,96.93,1.0,Afghanistan,Perth,2015,home
61,SPD Smith,73.0,77.0,55.0,8.0,0.0,132.72,1.0,South Africa,Canberra,2014,home
65,SPD Smith,72.0,107.0,88.0,7.0,1.0,81.81,1.0,Sri Lanka,Sydney,2015,home
66,SPD Smith,72.0,112.0,76.0,6.0,1.0,94.73,1.0,New Zealand,Canberra,2016,home
79,SPD Smith,67.0,103.0,74.0,6.0,1.0,90.54,2.0,South Africa,Sydney,2014,home
86,SPD Smith,65.0,115.0,69.0,7.0,0.0,94.2,2.0,Pakistan,Adelaide,2015,home
98,SPD Smith,60.0,155.0,101.0,2.0,0.0,59.4,1.0,Pakistan,Melbourne,2017,home
109,SPD Smith,56.0,137.0,71.0,3.0,0.0,78.87,2.0,New Zealand,Melbourne,2015,home
126,SPD Smith,51.0,37.0,29.0,4.0,3.0,175.86,1.0,India,Canberra,2016,home
132,SPD Smith,49.0,83.0,48.0,5.0,0.0,102.08,1.0,Pakistan,Sydney,2017,home
136,SPD Smith,47.0,66.0,52.0,6.0,0.0,90.38,2.0,India,Melbourne,2015,home
140,SPD Smith,46.0,67.0,47.0,4.0,0.0,97.87,2.0,India,Brisbane,2016,home
145,SPD Smith,45.0,0.0,66.0,1.0,0.0,68.18,2.0,England,Sydney,2018,home
156,SPD Smith,41.0,45.0,45.0,5.0,0.0,91.11,2.0,India,Melbourne,2016,home
162,SPD Smith,40.0,73.0,50.0,5.0,0.0,80.0,1.0,England,Perth,2015,home
173,SPD Smith,37.0,62.0,47.0,2.0,1.0,78.72,2.0,England,Sydney,2015,home
17,SPD Smith,28.0,47.0,37.0,3.0,0.0,75.67,1.0,India,Sydney,2016,home
56,SPD Smith,23.0,41.0,18.0,3.0,0.0,127.77,1.0,England,Melbourne,2018,home
88,SPD Smith,19.0,25.0,16.0,2.0,1.0,118.75,2.0,England,Perth,2014,home
96,SPD Smith,18.0,0.0,25.0,0.0,1.0,72.0,1.0,England,Brisbane,2018,home
141,SPD Smith,14.0,0.0,17.0,0.0,1.0,82.35,1.0,New Zealand,Sydney,2020,home
160,SPD Smith,12.0,0.0,23.0,0.0,0.0,52.17,2.0,England,Perth,2018,home
184,SPD Smith,10.0,31.0,20.0,2.0,0.0,50.0,1.0,South Africa,Perth,2014,home
5,SPD Smith,8.0,13.0,11.0,1.0,0.0,72.72,1.0,Sri Lanka,Adelaide,2013,home
34,SPD Smith,7.0,0.0,15.0,0.0,0.0,46.66,2.0,India,Canberra,2020,home
60,SPD Smith,5.0,14.0,9.0,1.0,0.0,55.55,1.0,England,Melbourne,2015,home
83,SPD Smith,4.0,3.0,2.0,1.0,0.0,200.0,1.0,Pakistan,Adelaide,2017,home
85,SPD Smith,4.0,0.0,16.0,0.0,0.0,25.0,2.0,England,Adelaide,2018,home
