,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
1,KS Williamson,145.0,207.0,136.0,17.0,1.0,106.61,1.0,South Africa,Kimberley,2013,away
4,KS Williamson,118.0,159.0,113.0,12.0,1.0,104.42,2.0,England,Southampton,2015,away
5,KS Williamson,118.0,183.0,128.0,14.0,1.0,92.18,1.0,India,Delhi,2016,away
19,KS Williamson,100.0,94.0,69.0,11.0,1.0,144.92,1.0,Zimbabwe,Bulawayo,2011,away
20,KS Williamson,97.0,124.0,102.0,11.0,1.0,95.09,1.0,Zimbabwe,Harare,2015,away
23,KS Williamson,93.0,121.0,88.0,12.0,1.0,105.68,1.0,England,The Oval,2015,away
24,KS Williamson,90.0,118.0,70.0,12.0,1.0,128.57,1.0,England,Nottingham,2015,away
25,KS Williamson,90.0,126.0,109.0,8.0,1.0,82.56,1.0,Zimbabwe,Harare,2015,away
27,KS Williamson,87.0,132.0,98.0,8.0,0.0,88.77,2.0,England,Cardiff,2017,away
31,KS Williamson,81.0,148.0,80.0,5.0,2.0,101.25,2.0,Australia,Canberra,2016,away
42,KS Williamson,69.0,122.0,84.0,5.0,1.0,82.14,2.0,West Indies,Basseterre,2012,away
43,KS Williamson,67.0,92.0,54.0,8.0,1.0,124.07,2.0,England,Cardiff,2013,away
47,KS Williamson,64.0,86.0,84.0,8.0,0.0,76.19,2.0,India,Kanpur,2017,away
53,KS Williamson,58.0,103.0,65.0,4.0,1.0,89.23,2.0,West Indies,Kingston,2012,away
61,KS Williamson,55.0,87.0,63.0,3.0,0.0,87.3,1.0,England,Southampton,2013,away
74,KS Williamson,50.0,81.0,65.0,5.0,0.0,76.92,1.0,England,Chester-le-Street,2015,away
81,KS Williamson,47.0,93.0,69.0,4.0,1.0,68.11,2.0,South Africa,Centurion,2015,away
89,KS Williamson,45.0,54.0,43.0,8.0,0.0,104.65,2.0,England,Birmingham,2015,away
101,KS Williamson,41.0,81.0,59.0,4.0,0.0,69.49,1.0,India,Ranchi,2016,away
111,KS Williamson,39.0,75.0,59.0,4.0,0.0,66.1,2.0,South Africa,Durban,2015,away
146,KS Williamson,30.0,77.0,53.0,2.0,0.0,56.6,1.0,England,Lord's,2019,away
159,KS Williamson,27.0,55.0,40.0,4.0,0.0,67.5,2.0,India,Visakhapatnam,2016,away
162,KS Williamson,27.0,62.0,40.0,3.0,0.0,67.5,2.0,England,Chester-le-Street,2019,away
171,KS Williamson,24.0,67.0,52.0,1.0,0.0,46.15,1.0,West Indies,Kingston,2012,away
179,KS Williamson,22.0,27.0,27.0,3.0,0.0,81.48,1.0,India,Mohali,2016,away
181,KS Williamson,21.0,50.0,29.0,2.0,0.0,72.41,1.0,Sri Lanka,Hambantota,2012,away
196,KS Williamson,19.0,41.0,28.0,1.0,0.0,67.85,2.0,England,Nottingham,2013,away
3,KS Williamson,19.0,0.0,26.0,2.0,0.0,73.07,2.0,Australia,Sydney,2020,away
29,KS Williamson,14.0,27.0,18.0,1.0,0.0,77.77,2.0,Zimbabwe,Harare,2011,away
49,KS Williamson,13.0,21.0,12.0,2.0,0.0,108.33,2.0,Australia,Melbourne,2016,away
54,KS Williamson,12.0,52.0,33.0,1.0,0.0,36.36,1.0,Australia,Melbourne,2015,away
91,KS Williamson,9.0,26.0,17.0,1.0,0.0,52.94,1.0,West Indies,Basseterre,2012,away
97,KS Williamson,9.0,29.0,16.0,2.0,0.0,56.25,2.0,Australia,Sydney,2016,away
116,KS Williamson,7.0,12.0,13.0,1.0,0.0,53.84,2.0,South Africa,Potchefstroom,2015,away
124,KS Williamson,6.0,17.0,17.0,1.0,0.0,35.29,1.0,South Africa,Potchefstroom,2013,away
134,KS Williamson,6.0,14.0,8.0,0.0,0.0,75.0,2.0,India,Mumbai,2017,away
142,KS Williamson,5.0,9.0,6.0,0.0,0.0,83.33,1.0,Sri Lanka,Pallekele,2012,away
143,KS Williamson,5.0,24.0,15.0,1.0,0.0,33.33,2.0,South Africa,Paarl,2013,away
173,KS Williamson,3.0,13.0,12.0,0.0,0.0,25.0,2.0,West Indies,Basseterre,2012,away
178,KS Williamson,3.0,15.0,9.0,0.0,0.0,33.33,1.0,India,Dharamsala,2016,away
182,KS Williamson,3.0,15.0,14.0,0.0,0.0,21.42,1.0,India,Pune,2017,away
