,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
15,KS Williamson,115.0,158.0,117.0,8.0,1.0,98.29,1.0,Pakistan,Wellington,2018,home
18,KS Williamson,112.0,202.0,143.0,6.0,2.0,78.32,2.0,England,Wellington,2018,home
19,KS Williamson,112.0,132.0,88.0,14.0,1.0,127.27,1.0,Pakistan,Napier,2015,home
28,KS Williamson,103.0,155.0,107.0,6.0,1.0,96.26,2.0,Sri Lanka,Nelson,2015,home
37,KS Williamson,97.0,141.0,95.0,8.0,2.0,102.1,1.0,Sri Lanka,Dunedin,2015,home
40,KS Williamson,95.0,178.0,116.0,9.0,1.0,81.89,2.0,Bangladesh,Nelson,2016,home
45,KS Williamson,88.0,117.0,91.0,8.0,1.0,96.7,1.0,India,Wellington,2014,home
52,KS Williamson,84.0,128.0,86.0,9.0,3.0,97.67,2.0,Pakistan,Auckland,2016,home
66,KS Williamson,77.0,99.0,87.0,5.0,1.0,88.5,1.0,India,Hamilton,2014,home
69,KS Williamson,76.0,0.0,74.0,6.0,0.0,102.7,1.0,Sri Lanka,Mount Maunganui,2019,home
72,KS Williamson,74.0,136.0,99.0,6.0,0.0,74.74,2.0,England,Hamilton,2013,home
76,KS Williamson,73.0,138.0,101.0,7.0,0.0,72.27,1.0,Pakistan,Dunedin,2018,home
79,KS Williamson,71.0,110.0,88.0,7.0,0.0,80.68,1.0,India,Napier,2014,home
83,KS Williamson,69.0,117.0,75.0,6.0,0.0,92.0,1.0,South Africa,Christchurch,2017,home
91,KS Williamson,65.0,128.0,86.0,3.0,0.0,75.58,2.0,Bangladesh,Christchurch,2019,home
92,KS Williamson,65.0,98.0,74.0,4.0,1.0,87.83,1.0,India,Auckland,2014,home
96,KS Williamson,64.0,138.0,81.0,7.0,0.0,79.01,1.0,India,Napier,2019,home
101,KS Williamson,61.0,91.0,72.0,7.0,0.0,84.72,1.0,Sri Lanka,Mount Maunganui,2016,home
105,KS Williamson,60.0,100.0,82.0,2.0,2.0,73.17,2.0,India,Hamilton,2014,home
106,KS Williamson,60.0,100.0,74.0,5.0,1.0,81.08,1.0,Australia,Wellington,2016,home
110,KS Williamson,59.0,102.0,73.0,7.0,0.0,80.82,1.0,Sri Lanka,Nelson,2015,home
112,KS Williamson,59.0,73.0,53.0,4.0,2.0,111.32,1.0,South Africa,Hamilton,2017,home
121,KS Williamson,57.0,70.0,65.0,5.0,1.0,87.69,1.0,Sri Lanka,Christchurch,2015,home
129,KS Williamson,55.0,114.0,69.0,4.0,0.0,79.71,1.0,South Africa,Wellington,2012,home
133,KS Williamson,55.0,0.0,65.0,6.0,1.0,84.61,1.0,Sri Lanka,Nelson,2019,home
134,KS Williamson,54.0,120.0,83.0,4.0,0.0,65.06,2.0,Sri Lanka,Wellington,2015,home
164,KS Williamson,47.0,61.0,55.0,3.0,0.0,85.45,1.0,West Indies,Nelson,2014,home
169,KS Williamson,45.0,0.0,42.0,5.0,1.0,107.14,2.0,Australia,Auckland,2015,home
175,KS Williamson,45.0,64.0,48.0,3.0,1.0,93.75,2.0,England,Dunedin,2018,home
191,KS Williamson,39.0,96.0,73.0,3.0,0.0,53.42,2.0,India,Wellington,2019,home
193,KS Williamson,38.0,49.0,40.0,3.0,0.0,95.0,1.0,Zimbabwe,Napier,2012,home
195,KS Williamson,38.0,60.0,45.0,6.0,0.0,84.44,2.0,Scotland,Dunedin,2015,home
197,KS Williamson,38.0,61.0,45.0,5.0,0.0,84.44,2.0,West Indies,Whangarei,2017,home
9,KS Williamson,36.0,51.0,42.0,5.0,0.0,85.71,1.0,Australia,Hamilton,2017,home
11,KS Williamson,35.0,67.0,53.0,4.0,0.0,66.03,1.0,Zimbabwe,Dunedin,2012,home
27,KS Williamson,33.0,82.0,47.0,3.0,0.0,70.21,1.0,England,Napier,2013,home
29,KS Williamson,33.0,58.0,45.0,4.0,0.0,73.33,2.0,Afghanistan,Napier,2015,home
30,KS Williamson,33.0,48.0,35.0,5.0,0.0,94.28,1.0,West Indies,Wellington,2015,home
36,KS Williamson,32.0,84.0,54.0,1.0,0.0,59.25,2.0,Pakistan,Hamilton,2018,home
42,KS Williamson,31.0,48.0,36.0,5.0,0.0,86.11,1.0,Bangladesh,Christchurch,2016,home
75,KS Williamson,28.0,62.0,48.0,4.0,0.0,58.33,1.0,India,Mount Maunganui,2019,home
83,KS Williamson,26.0,60.0,32.0,4.0,0.0,81.25,1.0,Sri Lanka,Dunedin,2015,home
96,KS Williamson,24.0,48.0,34.0,2.0,0.0,70.58,1.0,Australia,Auckland,2017,home
106,KS Williamson,23.0,57.0,40.0,0.0,1.0,57.5,2.0,South Africa,Wellington,2017,home
108,KS Williamson,22.0,69.0,43.0,1.0,0.0,51.16,1.0,South Africa,Auckland,2012,home
114,KS Williamson,22.0,50.0,36.0,0.0,0.0,61.11,1.0,Pakistan,Wellington,2018,home
120,KS Williamson,22.0,43.0,31.0,2.0,0.0,70.96,2.0,India,Mount Maunganui,2020,home
127,KS Williamson,21.0,38.0,24.0,3.0,0.0,87.5,2.0,South Africa,Hamilton,2017,home
142,KS Williamson,20.0,13.0,11.0,1.0,2.0,181.81,2.0,India,Mount Maunganui,2019,home
150,KS Williamson,19.0,40.0,28.0,2.0,0.0,67.85,2.0,Pakistan,Nelson,2018,home
159,KS Williamson,18.0,38.0,28.0,1.0,0.0,64.28,1.0,Australia,Hamilton,2016,home
180,KS Williamson,16.0,27.0,21.0,2.0,0.0,76.19,2.0,West Indies,Hamilton,2014,home
191,KS Williamson,15.0,43.0,22.0,1.0,0.0,68.18,2.0,Sri Lanka,Christchurch,2015,home
4,KS Williamson,14.0,0.0,35.0,2.0,0.0,40.0,1.0,Bangladesh,Nelson,2016,home
5,KS Williamson,14.0,39.0,25.0,1.0,0.0,56.0,1.0,England,Christchurch,2018,home
10,KS Williamson,13.0,35.0,18.0,0.0,0.0,72.22,1.0,South Africa,Napier,2012,home
34,KS Williamson,12.0,15.0,12.0,1.0,0.0,100.0,1.0,Sri Lanka,Nelson,2016,home
55,KS Williamson,11.0,23.0,18.0,2.0,0.0,61.11,2.0,India,Hamilton,2019,home
57,KS Williamson,11.0,25.0,22.0,1.0,0.0,50.0,2.0,Bangladesh,Napier,2019,home
65,KS Williamson,10.0,55.0,17.0,0.0,0.0,58.82,1.0,Pakistan,Wellington,2016,home
76,KS Williamson,9.0,23.0,22.0,1.0,0.0,40.9,2.0,England,Wellington,2015,home
88,KS Williamson,9.0,28.0,16.0,1.0,0.0,56.25,1.0,South Africa,Auckland,2017,home
96,KS Williamson,8.0,44.0,22.0,0.0,0.0,36.36,1.0,West Indies,Auckland,2013,home
108,KS Williamson,8.0,29.0,23.0,1.0,0.0,34.78,2.0,England,Hamilton,2018,home
125,KS Williamson,7.0,12.0,12.0,1.0,0.0,58.33,1.0,England,Auckland,2013,home
146,KS Williamson,6.0,12.0,11.0,1.0,0.0,54.54,2.0,South Africa,Auckland,2015,home
182,KS Williamson,4.0,7.0,8.0,0.0,0.0,50.0,1.0,Zimbabwe,Whangarei,2012,home
63,KS Williamson,1.0,3.0,2.0,0.0,0.0,50.0,2.0,Bangladesh,Hamilton,2015,home
73,KS Williamson,1.0,0.0,9.0,0.0,0.0,11.11,1.0,Sri Lanka,Mount Maunganui,2019,home
113,KS Williamson,0.0,8.0,8.0,0.0,0.0,0.0,1.0,Australia,Auckland,2016,home
